,LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,SCHEDULE,TYPE,LAP SET ON,QUALI TYPE
44,16,1:15.017,0.374,0.030,207.217,,,8,12,A. Leclerc,DAMS,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:20:09,Unique
45,17,1:15.085,0.442,0.068,207.029,,,9,2,J. Daruvala,MP Motorsport,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:19:48,Unique
46,15,1:15.087,0.444,0.002,207.023,,,10,9,J. Crawford,Hitech Pulse-Eight,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:19:57,Unique
47,17,1:15.128,0.485,0.041,206.91,,,11,22,R. Verschoor,Van Amersfoort Racing,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:19:58,Unique
48,17,1:15.203,0.560,0.075,206.704,,,12,23,J. Correa,Van Amersfoort Racing,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:23:29,Unique
49,16,1:15.237,0.594,0.034,206.611,,,13,1,D. Hauger,MP Motorsport,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:05:03,Unique
50,17,1:15.244,0.601,0.007,206.591,,,14,16,R. Nissany,PHM Racing by Charouz,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:20:08,Unique
51,16,1:15.374,0.731,0.130,206.235,,,15,3,Z. Maloney,Carlin,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:23:16,Unique
52,16,1:15.469,0.826,0.095,205.975,,,16,11,A. Iwasa,DAMS,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:04:44,Unique
53,15,1:15.502,0.859,0.033,205.885,,,17,20,R. Stanek,Trident,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:23:25,Unique
54,17,1:15.650,1.007,0.148,205.483,,,18,17,B. Benavides,PHM Racing by Charouz,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:23:26,Unique
55,16,1:15.690,1.047,0.040,205.374,,,19,8,O. Bearman,PREMA Racing,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:07:49,Unique
56,15,1:15.702,1.059,0.012,205.341,,,20,21,C. Novalak,Trident,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:01:22,Unique
57,11,1:15.808,1.165,0.106,205.054,,,21,10,I. Hadjar,Hitech Pulse-Eight,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:01:45,Unique
58,15,1:15.828,1.185,0.020,205.0,,,22,25,R. Boschung,Campos Racing,Spielberg,Round 8 |30-02 July 2023,Qualifying Session,16:05:19,Unique
59,15,1:15.216,-,-,206.668,,,1,4,E. Fittipaldi,Carlin,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:23:20,Unique
60,15,1:15.400,0.184,0.184,206.164,,,2,6,V. Martins,ART Grand Prix,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:19:58,Unique
61,17,1:15.608,0.392,0.208,205.597,,,3,7,F. Vesti,PREMA Racing,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:25:40,Unique
62,14,1:15.639,0.423,0.031,205.513,,,4,10,I. Hadjar,Hitech Pulse-Eight,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:23:11,Unique
63,19,1:15.718,0.502,0.079,205.298,,,5,11,A. Iwasa,DAMS,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:34:09,Unique
64,12,1:15.785,0.569,0.067,205.117,,,6,24,K. Maini,Campos Racing,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:34:01,Unique
65,18,1:15.791,0.575,0.006,205.1,,,7,12,A. Leclerc,DAMS,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:32:42,Unique
66,16,1:15.802,0.586,0.011,205.071,,,8,1,D. Hauger,MP Motorsport,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:31:07,Unique
67,18,1:15.856,0.640,0.054,204.925,,,9,14,J. Doohan,Invicta Virtuosi Racing,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:19:49,Unique
68,17,1:15.862,0.646,0.006,204.908,,,10,21,C. Novalak,Trident,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:32:01,Unique
69,17,1:15.865,0.649,0.003,204.9,,,11,8,O. Bearman,PREMA Racing,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:23:07,Unique
70,19,1:15.878,0.662,0.013,204.865,,,12,22,R. Verschoor,Van Amersfoort Racing,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:32:04,Unique
71,18,1:15.882,0.666,0.004,204.854,,,13,15,A. Cordeel,Invicta Virtuosi Racing,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:20:41,Unique
72,18,1:15.901,0.685,0.019,204.803,,,14,3,Z. Maloney,Carlin,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:17:14,Unique
73,11,1:15.906,0.690,0.005,204.79,,,15,25,R. Boschung,Campos Racing,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:33:07,Unique
74,15,1:15.927,0.711,0.021,204.733,,,16,5,T. Pourchaire,ART Grand Prix,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:19:56,Unique
75,17,1:15.928,0.712,0.001,204.73,,,17,2,J. Daruvala,MP Motorsport,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:20:22,Unique
76,18,1:16.024,0.808,0.096,204.472,,,18,20,R. Stanek,Trident,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:31:58,Unique
77,14,1:16.034,0.818,0.010,204.445,,,19,9,J. Crawford,Hitech Pulse-Eight,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:19:52,Unique
78,17,1:16.117,0.901,0.083,204.222,,,20,16,R. Nissany,PHM Racing by Charouz,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:19:48,Unique
79,20,1:16.224,1.008,0.107,203.935,,,21,23,J. Correa,Van Amersfoort Racing,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:32:22,Unique
80,19,1:16.491,1.275,0.267,203.223,,,22,17,B. Benavides,PHM Racing by Charouz,Spielberg,Round 8 |30-02 July 2023,Free Practice,11:20:27,Unique
